Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Urban,2,UPS (I-VIII),5,Private Unaided (Recognized),1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Urban,3,HSS (I-XII),5,Private Unaided (Recognized),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Urban,6,SS (I-X),5,Private Unaided (Recognized),4,3,3,0,4,3,3,3,0,0,3,2,1,3,0,4,4,4,4,4,4,0,0,0,0,2,2,0,0,0,4,0,2,3,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,1,PS (I-V),1,Department of Education,206,172,19,24,38,173,71,105,0,11,156,8,0,2,0,205,205,205,205,206,206,56,57,60,60,124,124,3,2,3,157,7,98,206,62,5,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,1,PS (I-V),5,Private Unaided (Recognized),6,6,4,0,3,5,1,1,0,1,2,0,0,1,0,6,6,6,6,6,6,0,0,0,0,4,4,0,0,0,5,0,4,6,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,2,UPS (I-VIII),5,Private Unaided (Recognized),1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,4,UPS (VI-VIII),1,Department of Education,10,8,3,3,1,10,5,6,0,2,9,4,0,0,0,10,10,10,10,10,10,0,0,0,0,2,2,0,0,0,7,0,1,10,4,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,5,HSS (VI-XII),1,Department of Education,12,9,5,3,5,11,11,12,0,5,9,8,0,1,1,10,10,12,12,12,12,1,1,1,1,9,9,4,4,4,10,0,8,12,9,1,0,1
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,7,SS (VI-X),1,Department of Education,5,5,1,2,0,5,3,3,0,1,3,1,0,0,0,5,5,5,5,5,5,2,2,2,2,4,4,1,1,1,2,0,1,5,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Urban,1,PS (I-V),1,Department of Education,2,1,0,1,0,2,1,2,0,0,1,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Urban,5,HSS (VI-XII),1,Department of Education,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Urban,6,SS (I-X),92,Kendriya Vidyalaya / Central School,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,1,PS (I-V),1,Department of Education,51,43,19,7,20,24,34,41,0,2,25,5,0,0,0,49,49,49,49,51,51,47,47,49,49,50,50,1,0,3,47,0,47,51,43,5,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,1,PS (I-V),5,Private Unaided (Recognized),7,6,4,1,4,4,7,7,0,0,5,4,1,3,0,7,7,7,7,7,7,0,0,0,0,6,6,0,0,0,7,0,6,7,5,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,1,PS (I-V),92,Kendriya Vidyalaya / Central School,2,2,2,0,0,1,2,2,0,1,2,0,0,0,0,2,2,2,2,2,2,0,0,0,0,2,2,1,1,1,2,0,2,0,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,2,UPS (I-VIII),5,Private Unaided (Recognized),3,2,1,1,2,2,2,2,0,0,2,2,0,1,0,3,3,3,3,3,3,0,0,0,0,1,1,0,0,0,2,0,1,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,3,HSS (I-XII),1,Department of Education,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,3,HSS (I-XII),4,Government Aided,2,2,1,0,2,2,2,2,0,0,1,1,1,1,0,2,2,1,1,2,2,1,0,1,1,2,2,1,1,0,2,0,2,2,1,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,3,HSS (I-XII),5,Private Unaided (Recognized),5,5,5,2,5,5,5,5,0,1,5,5,3,4,0,4,4,5,5,5,5,0,0,0,0,5,5,1,1,1,5,0,5,4,2,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,3,HSS (I-XII),92,Kendriya Vidyalaya / Central School,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,5,HSS (VI-XII),1,Department of Education,11,10,6,0,8,5,11,11,0,1,5,3,3,3,0,7,7,8,8,11,11,1,3,3,3,11,11,0,0,0,7,0,7,11,4,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,5,HSS (VI-XII),5,Private Unaided (Recognized),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,6,SS (I-X),5,Private Unaided (Recognized),5,5,3,0,5,3,5,5,0,0,4,3,3,3,0,5,5,5,5,5,5,1,1,1,1,4,4,1,0,0,5,1,4,4,3,0,1,1
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,7,SS (VI-X),1,Department of Education,4,4,1,0,1,4,3,3,0,0,2,0,0,0,0,3,3,4,4,4,4,1,1,1,1,4,4,0,0,0,1,0,1,4,2,1,0,1
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,7,SS (VI-X),5,Private Unaided (Recognized),1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,Urban,1,PS (I-V),1,Department of Education,21,19,12,1,6,12,12,13,0,6,9,0,0,0,1,19,19,19,19,21,21,18,17,20,20,20,20,0,2,2,19,0,18,21,15,1,0,3
2019-20,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,Urban,1,PS (I-V),5,Private Unaided (Recognized),6,2,1,0,5,1,5,5,0,0,5,2,0,1,0,6,6,6,6,6,6,0,0,0,0,5,5,0,0,0,6,0,5,1,0,0,0,0
