ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,5,cat5,HSS (VI-XII),1,Department of Education,2,SC,0,0,0,0,0,0,0,13,1,1,4,5,4,2,0,0,0,0,2,10,2,0,3,7,3,4
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,5,cat5,HSS (VI-XII),1,Department of Education,2,SC,0,0,0,0,0,0,7,12,17,12,13,21,15,14,0,0,0,0,15,11,19,12,22,14,13,14
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,5,cat5,HSS (VI-XII),1,Department of Education,2,SC,0,0,0,0,0,0,6,5,3,2,11,7,5,8,0,0,0,0,1,1,1,2,2,4,7,2
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,5,cat5,HSS (VI-XII),1,Department of Education,2,SC,0,0,0,0,0,0,6,6,6,6,16,14,23,19,0,0,0,0,3,3,13,11,10,14,22,11
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Rural,5,cat5,HSS (VI-XII),1,Department of Education,2,SC,0,0,0,0,0,0,7,6,16,21,19,20,29,24,0,0,0,0,5,8,2,2,10,8,6,8
2019-20,19,West Bengal,1901,DARJEELING,190133,JOREBUNGLOW_SUKHIA_BLOCK,Urban,5,cat5,HSS (VI-XII),1,Department of Education,2,SC,0,0,0,0,0,0,2,4,1,4,6,6,1,4,0,0,0,0,1,0,1,1,4,5,7,2
2019-20,19,West Bengal,1901,DARJEELING,190137,DARJEELING_MUNICIPALITY,Urban,5,cat5,HSS (VI-XII),1,Department of Education,2,SC,0,0,0,0,0,0,32,24,34,42,50,26,45,48,0,0,0,0,31,53,47,40,46,39,61,51
2019-20,19,West Bengal,1901,DARJEELING,190139,KURSEONG_MUNICIPALITY,Urban,5,cat5,HSS (VI-XII),1,Department of Education,2,SC,0,0,0,0,0,0,40,27,35,33,36,25,29,16,0,0,0,0,20,31,32,32,21,26,34,18
2019-20,19,West Bengal,1901,DARJEELING,190140,MIRIK_MUNICIPALITY,Urban,5,cat5,HSS (VI-XII),1,Department of Education,2,SC,0,0,0,0,0,0,1,4,4,4,4,8,5,11,0,0,0,0,2,3,7,7,7,5,7,1
2019-20,19,West Bengal,1901,DARJEELING,190129,DARJEELING_PULBAZAR_BLOCK,Rural,1,cat1,PS (I-V),1,Department of Education,2,SC,3,1,9,9,11,12,7,0,0,0,0,0,0,0,12,9,8,9,6,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190130,RANGLI_RANGLIOT_BLOCK,Rural,1,cat1,PS (I-V),1,Department of Education,2,SC,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190131,KURSEONG_BLOCK,Rural,1,cat1,PS (I-V),1,Department of Education,2,SC,0,0,5,5,4,4,2,0,0,0,0,0,0,0,4,6,2,2,1,0,0,0,0,0,0,0
2019-20,19,West Bengal,1901,DARJEELING,190132,MIRIK_BLOCK,Rural,1,cat1,PS (I-V),1,Department of Education,2,SC,0,0,3,7,3,2,0,0,0,0,0,0,0,0,3,2,1,4,0,0,0,0,0,0,0,0
